text,intent
how much is 1 share of aapl,oos
how long is winter,oos
how do i start my own marketing firm,oos
what does my personality mean,oos
what is the most popular airline,oos
what are some of picasso's most famous works,oos
when's the next movie starring thor set to come out,oos
when do classes start,oos
what were some of ben franklin's notable accomplishments,oos
where can i see art,oos
who is the scariest character in start trek,oos
who formulated the theory of relativity,oos
are there any local stations covering the moral march in raleigh in februaryu,oos
what year was saxaphone first played,oos
when was the theory of evolution first considered,oos
which piano is best for classical,oos
who is the current captain of this ship,oos
who are some notable alumni of ucsd,oos
how do i change my billing address,oos
how many oscars did star wars films win,oos
when was nintendo created,oos
what are the benefits of completing college,oos
what's the average battery life of an android phone,oos
how many students attend ucsb,oos
what city is the super bowl,oos
when did camus die,oos
where is the dipstick,oos
what do you call someone who was born in segovia,oos
when is the next nintendo direct,oos
how much money does radiohead earn a year,oos
why do males want to be alpha,oos
how expensive is an apple share,oos
what years has korea been at war,oos
where can i find the cruise control on my kia sportage 2010,oos
who was the first capcom character,oos
how can i become an aerospace engineer,oos
when was kobe bryant born,oos
what other personality type is most compatible with infjs,oos
can you list me tiger wood's stats,oos
what is rhineland,oos
how many players are on the chicago bulls,oos
how many points per game is lebron james averaging this season,oos
can you tell me something about the nfl,oos
what size wipers does this car take,oos
what are van gogh's best pieces,oos
what team does eli mannign play for,oos
how is glue made,oos
are you able to answer algebra equations,oos
what animals have alpha males,oos
where was john denver born,oos
how many sides are in a hexagon,oos
what trees change color in autumn,oos
what year was star trek released,oos
what does it mean to be an alpha male,oos
what is saas marketing,oos
which marvel character has appeared in the most movies,oos
what's the biggest saas marketing company in the united states,oos
what other nations were involved in the chinese trade war,oos
i need to speak to customer service regarding my flight,oos
how do i remove a coffee blemish,oos
who is radiohead,oos
how many planets have we discovered,oos
what's the most dominant scale in bluegrass,oos
what is the largest state in the us,oos
which character is the most famous from titanic,oos
what time does the louvre open,oos
what percentage of species display cold blooded traits,oos
please find the capital of pakistan and its population,oos
who is the coach of the chicago bulls,oos
do people prefer summer over fall,oos
what are some deals on amazon,oos
what is the highest earning game on atari,oos
when do the utah jazz play next,oos
can you help me study for a history exam,oos
is k-12 education required outside of the united states,oos
how many people live in taiwan,oos
when did the mls start,oos
get me dwight howard shooting average,oos
please explain the catch rule to me,oos
what is the formula for the circumference of a circle,oos
what's the best price on super smash bros ultimate right now,oos
what's the runtime of all the lord of the rings movies combined,oos
how do i open an online line of credit,oos
is there overtime in college football,oos
why are exponents preformed before multiplication in the order of operations,oos
how can i get involved in restaurant marketing,oos
what are some ways to reduce spending,oos
when was toyota created,oos
how much is an overdraft fee for bank,oos
what is the current market trend,oos
how fast does an airplane travel,oos
where did abraham lincoln live,oos
any headlines from my area,oos
how long do wire transfers take,oos
what stage of evolution am i,oos
what year was shawshank redemption released,oos
who's toledo's starting point guard for the next game,oos
is it worth investing in target,oos
what is the next football game,oos
are any justice league movies coming out,oos
